GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api.messages,TransportOrderMO,115,28,0,0,13,10,7,9,7,9
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api.messages,TransportOrderMO.EventType,0,44,0,0,0,5,0,1,0,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,ChangeState,44,0,6,0,10,0,6,0,3,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,StateManagerImpl,87,245,9,25,5,30,8,14,0,3
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,Starter,158,114,15,7,22,19,10,8,0,7
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,AmqpStartRequestForwarder,0,24,0,0,0,7,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,Starter.AjcClosure1,14,4,0,0,0,1,1,1,1,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,Starter.AjcClosure3,0,18,0,0,0,1,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,StartListener,0,39,0,3,0,11,0,4,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,AmqpStateListener,59,21,3,3,13,7,3,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,Initializer,0,40,0,0,0,7,0,3,0,3
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,InternalStartAcceptor,11,0,0,0,5,0,2,0,2,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,TransportStartComparator,40,3,8,0,9,1,5,1,1,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.state,Initializer.AjcClosure1,0,18,0,0,0,1,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms,TransportationController,11,160,7,5,3,37,6,10,0,10
OpenWMS.org TMS: Transportation Services,org.openwms.tms,TransportServiceEvent,4,10,0,0,2,4,1,2,1,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms,PriorityLevel,3,95,0,0,1,18,1,5,1,5
OpenWMS.org TMS: Transportation Services,org.openwms.tms,TransportOrderState,3,89,0,0,1,18,1,2,1,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms,TransportationRunner,5,3,0,0,2,1,1,1,1,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms,TransportOrder,57,236,35,27,6,35,35,22,6,20
OpenWMS.org TMS: Transportation Services,org.openwms.tms,Message,98,52,10,4,10,15,10,6,3,6
OpenWMS.org TMS: Transportation Services,org.openwms.tms,ProblemHistory,6,12,0,0,2,6,2,2,2,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms,StateChangeException,4,8,0,0,2,3,1,2,1,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms,Message.Builder,5,23,0,0,2,8,1,5,1,5
OpenWMS.org TMS: Transportation Services,org.openwms.tms,DeniedException,5,9,0,0,2,3,1,2,1,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms,TransportationFacade,47,152,10,10,9,26,10,8,2,6
OpenWMS.org TMS: Transportation Services,org.openwms.tms,TransportServiceEvent.TYPE,20,85,5,3,5,19,5,4,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api.requests.state,StateChangeRequest,8,15,0,0,4,6,2,3,2,3
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api.requests.state,StateChangeResponse,21,33,3,3,7,11,6,6,3,6
OpenWMS.org TMS: Transportation Services,org.openwms.common.location,LocationPK.Builder,33,0,0,0,12,0,7,0,7,0
OpenWMS.org TMS: Transportation Services,org.openwms.common.location,LocationPK,207,12,19,3,43,1,24,2,14,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,MessageVO,72,64,6,6,8,15,8,7,2,7
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,TransportOrderVO,96,48,0,0,10,21,3,14,3,14
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,TOCommand.Type,44,0,0,0,9,0,1,0,1,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,MessageVO.Builder,5,23,1,1,2,7,2,3,1,3
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,TOCommand,64,0,0,0,18,0,10,0,10,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,UpdateTransportOrderVO,125,33,0,0,22,16,11,9,11,9
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,TOCommand.Builder,20,0,0,0,7,0,4,0,4,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,CreateTransportOrderVO.Builder,15,20,0,0,6,7,3,4,3,4
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,CreateTransportOrderVO,0,125,0,0,0,38,0,17,0,17
OpenWMS.org TMS: Transportation Services,org.openwms.tms.api,UpdateTransportOrderVO.Builder,45,0,0,0,17,0,9,0,9,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.targets,DefaultTargetResolvers.LocationTargetResolver,20,0,0,0,6,0,3,0,3,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.targets,DefaultTargetResolvers,3,0,0,0,1,0,1,0,1,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.targets,DefaultTargetResolvers.LocationGroupTargetResolver,20,0,0,0,6,0,3,0,3,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.targets,LocationGroupTargetHandler,13,6,2,0,2,3,2,1,1,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.targets,LocationTargetHandler,13,6,2,0,2,3,2,1,1,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl,AddProblemFunction,0,48,1,11,0,11,1,8,0,3
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl,ChangeTU.AjcClosure1,0,22,0,0,0,1,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl,AddProblemImpl,10,19,1,1,1,8,1,3,0,3
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl,ChangeTU,9,55,1,1,1,9,1,4,0,4
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl,PrioritizeTO,0,16,0,4,0,4,0,4,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl,TransportationServiceImpl,141,200,10,4,20,31,9,10,3,9
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl,TransportationServiceImpl.AjcClosure1,0,25,0,0,0,1,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.commands,TransportOrderCommandHandler,154,12,7,0,22,5,7,1,2,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,TransportationWebConfiguration,0,8,0,0,0,3,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,AllConfigurations,0,3,0,0,0,1,0,1,0,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,TransportationModuleConfiguration.new AbstractTranslator() {...},0,10,0,0,0,2,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,TransportationStandaloneConfiguration,0,3,0,0,0,1,0,1,0,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,TransportationFeignConfiguration,0,3,0,0,0,1,0,1,0,1
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,TransportationModuleConfiguration,0,108,0,0,0,24,0,11,0,11
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,TransportationAsyncConfiguration,9,137,0,0,3,43,1,16,1,16
OpenWMS.org TMS: Transportation Services,org.openwms.tms.app,TransportationSecurityConfiguration,0,14,0,0,0,6,0,2,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.events,TransportOrderEventPropagator,18,83,1,7,3,19,1,5,0,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.removal,TransportUnitRemovalHandler,302,27,31,1,87,10,25,2,9,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.removal,TransportUnitRemovalListener,57,19,6,0,12,7,5,2,2,2
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.removal,RemovalNotAllowedException,9,0,0,0,4,0,2,0,2,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.removal,TransportUnitRemovalHandler.AjcClosure1,18,0,0,0,1,0,2,0,2,0
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.redirection,LocationRedirector,2,50,2,2,1,19,2,4,0,4
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.redirection,RedirectVote,0,21,0,0,0,8,0,4,0,4
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.redirection,RedirectTO,29,107,20,12,2,19,13,8,0,5
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.redirection,LocationGroupRedirector,2,29,2,2,0,7,2,4,0,4
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.redirection,TargetRedirector,0,64,0,4,0,12,0,5,0,3
OpenWMS.org TMS: Transportation Services,org.openwms.tms.impl.redirection,Vote,0,37,1,3,0,9,1,7,0,6
OpenWMS.org TMS: Transportation Services,org.openwms.common.transport,TransportUnitEvent.TransportUnitEventType,0,14,0,0,0,2,0,1,0,1
OpenWMS.org TMS: Transportation Services,org.openwms.common.transport,TransportUnitEvent,16,13,0,0,5,4,3,2,3,2
OpenWMS.org TMS: Transportation Services,org.openwms.common.transport,TransportUnitEventPropagator,50,0,2,0,11,0,3,0,2,0
OpenWMS.org TMS: Transportation Services,org.openwms.common.transport,TransportUnitEvent.Builder,0,15,0,0,0,5,0,3,0,3
